company,url,description,industry,country,total_funding_m,all_people,all_investors,your_collections,team_tag,expert_collections,esp,company_status,company_id,organization_id,founded_year,competitors,subsidiaries,parent_company,continent,state,city,street,zip_code,latest_funding_round,latest_funding_date,latest_funding_amount_m,latest_funding_simplified_round,latest_funding_investors,market_cap_m,stock_price_dollars,latest_revenue_min_m,latest_revenue_max_m,revenue_time_period,stock_price_1_week_percent_change,latest_revenue_multiple_min,latest_revenue_multiple_max,sector,sub_industry,latest_exit_round,date_of_exit,acquirer,vc_backed
Mercado Bitcoin,mercadobitcoin.com.br,Mercado Bitcoin is a bitcoin exchange platform from Brazil.,E-Commerce,Brazil,288.00,"Marcos Carvalho (Founder), Gustavo Chamati (Founder), Mauricio Chamati (Founder), Rodrigo Batista (Founder), Reinaldo Rabelo (CEO), Roberto Dagnoni (CEO), André Gouvinhas (CFO), Gleisson Cabral (COO), Robson Harada (Chief Marketing Officer)","Banco Plural, Evora Equity, Evora and Genial, G2D Investments, GP Investments, Gear Ventures, HS Investimentos, Parallax Ventures, SoftBank Latin America Fund, 10T Fund, Endeavor, PIPO Capital, TC, Tribe Capital",,,"Blockchain, Fintech",,Alive / Active,282278,200201,2013,,,2TM,South America,,Barueri,"Alameda Mamoré, 687 Conjuntos 303, Sala 03",06454-040,Series B - II,2021-11-30,50.00,Series B,"10T Fund, Endeavor, PIPO Capital, TC, Tribe Capital, Undisclosed Investors",,,,,,,,,Internet,Marketplace,,,,Yes
TradeWind Markets,tradewindmarkets.com,"TradeWind Markets is a technology platform for digitizing the trading, settlement, and ownership of precious metals via its Vaultchain blockchain technology. The company was founded in 2016 and is based in New York, New York.",Internet Software & Services,United States,27.42,"Matthew Trudeau (Founder), Michael Haughton (Founder), Fraser Buchan (Founder), Nidhi Kumra (CFO)","IEX, Sprott, Agnico Eagle, Goldcorp, IAMGOLD Corporation, Sapphire Ventures, Wheaton Precious Metals",,,"Blockchain, Capital Markets Tech, Fintech",,Alive / Active,258084,228756,2016,,,,North America,New York,New York,3 World Trade Center 58th Floor,10007,Unattributed,2022-05-18,2.30,Undisclosed,Undisclosed Investors,,,,,,,,,Internet,Asset & Financial Management & Trading,,,,Yes
KYVE,kyve.network,"KYVE operates a decentralized data storage solution. Its platform allows providers to standardize, validate, and permanently store blockchain data streams. This decentralized data storage solution reduces dependence on centralized services such as AWS for web3 companies. It was founded in 2021 and is based in Frankfurt, Germany.",Internet Software & Services,Germany,11.80,"Fabian Riewe (CEO), Fezyla Mokrani-Zemour (COO), John Letey (CTO)","Hypersphere Ventures, Permanent Ventures, AVA Labs, Arweave, CMS Holding, Interchain Foundation, NEAR Protocol, Solana Foundation, Zee Prime Capital, Anagram, Blockchain Coinvestors, Cerulean Ventures, Distributed Global, Huobi Incubator, IOSG, MEXC, Wicklow Capital",,,Blockchain,,Alive / Active,686565,800391,2021,,,,Europe,,Frankfurt,,,Series A,2022-06-30,9.00,Series A,"Anagram, Blockchain Coinvestors, Cerulean Ventures, Distributed Global, Huobi Incubator, IOSG, MEXC, Wicklow Capital",,,,,,,,,Internet,Data Storage,,,,Yes
Heroes of Mavia,mavia.com,Heroes of Mavia is a prominent play-to-earn MMO strategy game on the blockchain.,Internet Software & Services,France,5.50,,"Alameda Research Ventures, Animoca Brands, Binance Ventures, Delphi Digital, Genblock, Mechanism Capital",,,Blockchain,,Alive / Active,708150,826797,2021,,,,Europe,,,,,Seed VC,2022-01-21,5.50,Seed VC,"Alameda Research Ventures, Animoca Brands, Binance Ventures, Delphi Digital, Genblock, Mechanism Capital",,,,,,,,,Internet,Gaming,,,,Yes
Cometh,cometh.io,"Cometh is a blockchain game that lets users own yield-generating NFTs, integrating both DeFi and NFT features into a single gaming experience.",Internet Software & Services,France,10.00,"Jerome Tychey (CEO), Vincent Gallic (CTO), David Dufour (Chief Marketing Officer)","IDEO CoLab, Serena Capital, Shima Capital, Stake Capital, Ubisoft, White Star Capital",,,"Blockchain, Gaming",,Alive / Active,749381,872988,,,,,Europe,,Paris,,,Seed VC,2022-05-06,10.00,Seed VC,"IDEO CoLab, Serena Capital, Shima Capital, Stake Capital, Ubisoft, White Star Capital",,,,,,,,,Internet,Gaming,,,,Yes
Trailblazer Games,eternaldragons.com,Trailblazer Games is a game studio developing a fantasy blockchain game and universe dubbed Eternal Dragons.,Internet Software & Services,Singapore,8.20,"Alex Arias (CEO), Bertrand Lamarque (CTO), Andreas Risberg (Chief Product Officer)","Aleksander Larsen, Chris Lee, Fabric Ventures, Itamar Lesuisse, Makers Fund, Oliver Löffler, Play Ventures, Sagi Shorrer, Santiago Santos",,,"Blockchain, Gaming",,Alive / Active,731481,852723,2021,,,,Asia,,,68 Circular Rd #02-01,049422,Seed VC,2022-03-18,8.20,Seed VC,"Aleksander Larsen, Chris Lee, Fabric Ventures, Itamar Lesuisse, Makers Fund, Oliver Löffler, Play Ventures, Sagi Shorrer, Santiago Santos",,,,,,,,,Internet,Gaming,,,,Yes
Melange,melange.io,"Melange is developing a decentralized technology on the Solana blockchain that handles betting markets on live events. The company was founded in 2022 and is based in Brooklyn, New York.",Internet Software & Services,United States,7.62,"Joshua Beck (Founder), Glenn Yu (CEO)",,,,Blockchain,,Alive / Active,737743,859958,2022,,,,North America,New York,Brooklyn,315 Flatbush Ave #422,11217,Seed,2022-04-04,7.62,Seed,Undisclosed Investors,,,,,,,,,Internet,Gambling,,,,No
Zbyte,zbyte.io,Zbyte aims to create decentralized application stores to assist developers and businesses in developing apps. Its decentralized blockchain platform accelerates dApp creation with a low code no-code interface. It was founded in 2021 and is based in San Francisco California.,Internet Software & Services,United States,10.00,"Krish Kupathil (Founder), Saurabh Radhakrishnan (Founder), Nitin Kumar (Founder), Ankush Tiwari (CTO), Manu Namboodiri (Chief Product Officer), Maxence Cacheux (Chief Revenue Officer)",,,,Blockchain,,Alive / Active,784707,911681,2021,,,,North America,California,San Francisco,,94111,Seed,2022-07-12,10.00,Seed,Undisclosed Investors,,,,,,,,,Internet,Content Management,,,,No
Heard About Blockchain,,Heard About Blockchain (听闻区块链) is an economy news channel.,Radio,China,1.26,,Huangtao Capital,,,Blockchain,,Alive / Active,326801,270484,2018,,,,Asia,,,,,Seed,2018-05-22,1.26,Seed,Huangtao Capital,,,,,,,,,Media (Traditional),,,,,No
SEBA Bank,seba.swiss,"SEBA Bank offers cryptocurrency services to companies and investors while extending traditional banking services to firms. The company also aims to provide corporate financing, including advising on initial coin offerings and other cryptocurrency and banking services to traditional corporate clients and cryptocurrency groups.",Internet Software & Services,Switzerland,245.48,"Mattia Rattaggi (Founder), Guido Buehler (Founder), Alena Gwerder (CFO), Alistair Heggie (COO), Oliver Deak (CTO), Sandra Frank (Chief Marketing Officer), Tobias Klein (Managing Director)","Black River Asset Management, Summer Capital, Julius Baer Group, Alameda Research Ventures, Altive, DeFi Technologies, FTX, Ordway Selections",,,"Banking, Blockchain, Fintech, Blockchain 50",,Alive / Active,351369,411356,2018,Sygnum,,,Europe,,Zug,Kolinplatz 15,6300,Series C,2022-01-12,119.00,Series C,"Alameda Research Ventures, Altive, DeFi Technologies, FTX, Julius Baer Group, Ordway Selections, Summer Capital",,,,,,,,,Internet,Accounting & Finance,,,,Yes
Polysign,polysign.io,"PolySign is a transformative financial technology company providing institutional investors with cutting-edge blockchain-enabled infrastructure in support of digital assets across the capital markets and payments sectors. The Polysign family of products includes MGStover and Standard Custody and Trust Co. MG Stover is a full-service fund administration firm built by former auditors and fund operators to deliver world class solutions to the alternative investment industry. Polysign was founded in 2017 and is based in Oakland, California.",Internet Software & Services,United States,158.87,"Arthur Britto (Founder), Jack McDonald (CEO), Fred Wagner (CFO), Dale Q. (CTO), Suellen Galish (Chief Compliance Officer), Nazia Chowdhury (SVP)","Paycheck Protection Program, Blockchain.com, Cowen, Ian McKinnon, Race Capital, Brevan Howard, GSR Ventures, Soros Fund Management, Boathouse Capital",,,"Blockchain, Wealth Tech, Capital Markets Tech, Fintech",,Alive / Active,316199,68984,2017,,MG Stover,,North America,California,Oakland,1300 Clay Street Suite 600,94612,Line of Credit,2022-06-28,25.00,Line of Credit,Boathouse Capital,,,,,,,,,Internet,Asset & Financial Management & Trading,,,,Yes
CloudWalk,cloudwalk.io,"CloudWalk is an open payment platform for creating and managing point-of-sale, hardware-agnostic payments apps focused on North America and LatAm (Latin America). The company's payment network per the company is built from the ground up on modern technology and blockchain and focuses on disrupting the payment ecosystem for small-and-medium enterprise merchants and their customers.",Internet Software & Services,Brazil,345.00,"Luis Silva (Founder), Eliezer Pimentel (Founder), Bruno Freitas (CTO), Triinu Gröön (Chief People Officer)","Plug and Play Accelerator, Visa Acceleration Program, FIS Ventures, Letsbank, The Hive, Valor Capital Group, Coatue Management, DST Global, Plug and Play Ventures, A* Capital, Gokul Rajaram, Kelvin Beachum Jr, Larry Fitzgerald, StoneCo",,,"Store management tech (In-store retail tech), Unicorns- Billion Dollar Startups, Blockchain, Payments, Fintech, Retail Tech 100",Integrated Point-Of-Sale (Financial Services),Alive / Active,241542,101096,2013,"BakeSmart, Cielo, Complete Merchant Solutions, Deliverect, EBANX, Ento, Getnet Brazil, Hash, Iugu, Konduto, Oliver POS, Pagar.me, PagPop, PagSeguro, PicPay, POP Recarga, QuoteMachine, Stelo, StoneCo, SumUp, Ton, TouchBistro, Vindi",,,South America,,Sao Paulo,R. Eugênio de Medeiros 303 - 16º andar - Pinheiros,05425-070,Series C,2021-09-08,150.00,Series C,"A* Capital, Coatue Management, DST Global, Gokul Rajaram, Kelvin Beachum Jr, Larry Fitzgerald, Plug and Play Ventures, The Hive, Valor Capital Group",,,,,,,,,Internet,Payments,,,,Yes
OTA,,OTA is a blockchain application development platform based on multi-chain structure that uses POS and DPOS. The platform also provides smart contracts.,Internet Software & Services,China,7.26,,"Haidong Investment, VFF Fund, Weijin Investment",,,Blockchain,,Alive / Active,399221,475085,,,,,Asia,,,,,Unattributed,2019-07-18,7.26,Undisclosed,"Haidong Investment, VFF Fund, Weijin Investment",,,,,,,,,Internet,Science & Engineering,,,,No
Joyride,onjoyride.com,"Joyride is a Web3 publishing platform for game creators. Optimized for the Unity ecosystem, Joyride allows game developers to build and launch blockchain-powered casual, e-sports, and social games on iOS and Android. Joyride is based in Palo Alto, California.",Mobile Software & Services,United States,14.00,Omar Siddiqui (CEO),"BITKRAFT Esports Ventures, Animoca Brands, Coinbase Ventures, Dapper Labs, Mirana Ventures, Modern Times Group, Solana Ventures, SuperLayer, KuCoin Ventures",,,"Blockchain, Gaming",,Alive / Active,565376,662468,,,,,North America,California,Palo Alto,"3790 El Camino Real, # 1111",94306,Seed VC - II,2022-05-25,,Seed VC,KuCoin Ventures,,,,,,,,,Mobile & Telecommunications,Gaming,,,,Yes
CrownThrown,,"CrownThrown is focused on the intersection of crypto, blockchain and professional sports.",Stealth Mode,United States,4.83,,,,,Blockchain,,Alive / Active,328917,136588,2018,,,,North America,Florida,Boca Raton,7280 W Palmetto Park Road Suite 105,33496,Unattributed - II,2018-06-25,4.08,Undisclosed,Undisclosed Investors,,,,,,,,,Software (non-internet/mobile),,,,,No
Founders Bank,founders.money,"Founders Bank is a corporate challenger bank servicing the tech industry, including blockchain and other emerging technologies, aiming to provide banking services on a world class technology platform with a strong emphasis on customer experience and AML/KYC.",Internet Software & Services,Malta,17.75,"Paula Pandolfino (Founder), Kenan Altunis (CEO), Lana Burdei (COO), Dearg OBartuin (CTO)","Binance, Carduus Asset Management, Polychain Capital",,,"Banking, Blockchain, Fintech",,Alive / Active,333576,169120,2018,,,,Europe,,Gzira,14 East Tower Sliema Road,,Seed - II,2019-10-02,10.00,Seed,"Binance, Carduus Asset Management, Polychain Capital",,,,,,,,,Internet,Accounting & Finance,,,,No
Skrice Studios,skrice.com,"Skrice is a blockchain-focused game development and design studio. The company's flagship game is ""Heroes of Mavia"", a play-to-ear blockchain game.",Internet Software & Services,Vietnam,5.50,"Nam Hai (COO), Ha Duong (COO), Nhan Cao (CTO), Tristan Chaudhry (Managing Director)","Binance Labs, Delphi Digital, Double Peak Group, ExNetwork, Genblock, Mechanism Capital, Yield Guild Games Southeast Asia",,,"Blockchain, Gaming",,Alive / Active,705186,823567,,,,,Asia,,Hanoi,,,Seed VC,2022-01-21,5.50,Seed VC,"Binance Labs, Delphi Digital, Double Peak Group, ExNetwork, Genblock, Mechanism Capital, Undisclosed Angel Investors, Yield Guild Games Southeast Asia",,,,,,,,,Internet,Gaming,,,,Yes
Big Kid Ventures,theredvillage.com,"Big Kid Ventures is a blockchain technology company that specializes in NFTs and gaming. The company currently offers The Red Village, a play-to-earn NFT blockchain fantasy RPG game. Big Kid Ventures serves consumers in the blockchain gaming market. The company was founded in 2021 and is based in Sydney, New South Wales.",Internet Software & Services,Australia,6.50,"Lucien Dorman (CEO), Matan Adato (COO)","Animoca Brands, Crypto Gaming United, DWeb3 Capital, Duck DAO, Fundamental Labs, GameFi Ventures, IQ Protocol, JellyC, KuCoin Ventures, Lucid Blue Ventures, MEXC, MetaVest, OIG CAPITAL, Paribu Ventures, Polygon Studios, Pylon Labs, Rendezvous Equity, SL2 Capital, Sfermion, Spark Capital, Vendetta Capital",,,"Blockchain, Gaming",,Alive / Active,759155,883999,2021,,,,Australia,New South Wales,Sydney,,,Seed VC,2022-06-03,6.50,Seed VC,"Animoca Brands, Crypto Gaming United, DWeb3 Capital, Duck DAO, Fundamental Labs, GameFi Ventures, IQ Protocol, JellyC, KuCoin Ventures, Lucid Blue Ventures, MEXC, MetaVest, OIG CAPITAL, Paribu Ventures, Polygon Studios, Pylon Labs, Rendezvous Equity, SL2 Capital, Sfermion, Spark Capital, Undisclosed Angel Investors, Vendetta Capital",,,,,,,,,Internet,Gaming,,,,Yes
Kryptomon,kryptomon.co,"Kryptomon is an NFT gaming platform that offers digital collectible monsters built on the BSC blockchain. It provides BEP20 token (KMON) to buy, trade, and breed with other players to create new eggs with traits. It was founded in 2021 and is based in Rome, Italy.",Mobile Software & Services,Italy,10.00,"Maurice Vries (Founder), Bartolomeo Vitis (Founder), Umberto Cerchi (CEO), Chris Ciszak (CTO), Tomer Nuni (Chief Marketing Officer), Emanuele Zanchi (Chief People Officer)","SMO Capital, Griffin Gaming Partners, NFX, PlayStudios, TAL Ventures, Vikram Pandit",,,Blockchain,,Alive / Active,690902,805694,2021,,,,Europe,,Rome,,,Series A,2022-05-31,10.00,Series A,"Griffin Gaming Partners, NFX, PlayStudios, TAL Ventures, Vikram Pandit",,,,,,,,,Mobile & Telecommunications,Gaming,,,,Yes
POAP,poap.xyz,"POAP enables a new way of keeping long-lasting records of life experiences. A POAP is a digital collectible created as an NFT (non-fungible token) powered by the blockchain. POAP allows event organizers to better engage with their audiences by providing a customized experience. POAPs not only offer special designs but allow for a range of integrated services such as private chat rooms, raffles, and more.",Mobile Software & Services,United States,10.00,"Patricio Worthalter (Founder), Isabel Gonzalez (COO), Thomas Soracco (CTO)","Advancit Capital, Archetype Ventures, Sapphire Ventures, Sound Ventures, The Chernin Group",,,Blockchain,,Alive / Active,695646,811828,2021,,,,North America,New York,New York,82 Nassau Street #60906,10038,Seed VC,2021-12-08,10.00,Seed VC,"Advancit Capital, Archetype Ventures, Sapphire Ventures, Sound Ventures, The Chernin Group",,,,,,,,,Mobile & Telecommunications,Asset & Financial Management & Trading,,,,Yes
Populous,populous.co,"Populous is an Ethereum-based invoice and trade finance platform. Populous uses smart contracts, XBRL data, and pegged stable tokens to create a unique trading environment for investors and invoice sellers to trade invoices from all around over the world on the blockchain.",E-Commerce,United Kingdom,10.00,"Stephen Williams (CEO), John Morton (CTO), Wisdom Oparaocha (CTO)",,,,Blockchain,,Alive / Active,283758,65269,,,,,Europe,England,London,Kemp House 152 City Road,EC1V 2NX,Unattributed,2017-08-10,10.00,Undisclosed,Undisclosed Investors,,,,,,,,,Internet,Marketplace,,,,No
Gapless,gapless.app,Gapless builds a blockchain-based platform for collectible cars that lets users collect important data on their cars.,Internet Software & Services,Germany,5.97,"Jan Karnath (CEO), Malte Häusler (CFO), Andreas Joebges (COO)","Porsche Ventures, FinLab EOS VC, LA ROCA Capital, Startup Autobahn",,,Blockchain,,Alive / Active,351631,411695,2018,,,,Europe,,Berlin,Neue Schonhauser Str. 2,10178,Series A,2020-04-29,5.97,Series A,"FinLab EOS VC, LA ROCA Capital, Porsche Ventures",,,,,,,,,Internet,Data & Document Management,,,,Yes
Pixel Vault,punkscomic.com,Pixel Vault is a media company focused on elevating crypto-native assets across a variety of mediums through the development of intellectual property. It is empowered by decentralization.,Asset & Financial Management & Trading Software,United States,100.00,Sean Gearin (Founder),"01 Advisors, Velvet Sea Ventures",,,Blockchain,,Alive / Active,710478,829390,2021,,,,North America,New York,New York,,,Series A,2022-02-02,100.00,Series A,"01 Advisors, Velvet Sea Ventures",,,,,,,,,Software (non-internet/mobile),,,,,Yes
Serum,projectserum.com,"Serum is a new high-speed, non-custodial DEX that’s built on Solana. It is a complete, non-custodial decentralized exchange running on an on-chain central limit order book (CLOB) on Solana’s mainnet.",Internet Software & Services,Hong Kong,100.00,Sam Bankman-Fried (Founder),"Commonwealth Group, Tiger Global Management",,,Blockchain,,Alive / Active,703137,821073,,"Aldrin, Onomy Protocol, Orca",,,Asia,,,,,Unattributed - II,2022-01-07,100.00,Undisclosed,"Commonwealth Group, Tiger Global Management, Undisclosed Angel Investors, Undisclosed Investors",,,,,,,,,Internet,Asset & Financial Management & Trading,,,,No
Coinsquare,coinsquare.com,"Coinsquare operates as platform to buy, sell and trade bitcoin, ethereum, gold and more.",Internet Software & Services,Canada,100.00,"Jonathan Goldman (Founder), Virgile Rostand (Founder), Martin Piszel (CEO), Jessica Trott (CFO), Eric Richmond (COO), Daljit Bhartt (CTO), Sam Dennis (Chief Revenue Officer), Kuno Tucker (Chief Compliance Officer)","Riot Blockchain, Canaccord Genuity Group, Mogo",,,Blockchain,,Alive / Active,301186,115038,2014,National Digital Asset Exchange,"Just Cash, BlockEQ, StellarX",,North America,Ontario,Toronto,PO Box 6 Toronto B,M5T 2T2,Corporate Minority - II,2021-02-11,56.40,Corporate Minority,Mogo,,,,,,,,,Internet,Asset & Financial Management & Trading,,,,No
Revolving Games,revolvinggames.com,"Revolving Games is a game studio that focuses on triple-A blockchain games. It is developing a massively multiplayer online game (MMO) with an AAA IP. It was founded in 2019 and is based in San Francisco, California.",Internet Software & Services,United States,12.00,"Ammar Zaeem (CEO), Shayan Zaeem (President)","Sarmayacar, Animoca Brands, Dan Houser, Dapper Labs, Pantera Capital, Polygon",,,"Blockchain, Gaming",,Alive / Active,436221,523075,2019,,,,North America,California,San Francisco,495 3rd Street,94017,Seed VC,2022-09-09,,Seed VC,"Animoca Brands, Dan Houser, Dapper Labs, Pantera Capital, Polygon",,,,,,,,,Internet,Gaming,,,,Yes
DSCVR,dscvr.one,"DSCVR is a Web3 social platform with crypto-native integrations that rewards users for great content and is built entirely on the Internet Compute, a blockchain decentralized protocol. The company was founded in 2021 and is based in Marina del Rey, California.",Internet Software & Services,United States,9.00,"Juan Bruce-Novoa (Founder), Rick Porter (CEO), Alexander Turner (COO)","Bertelsmann Digital Media Investments, Fyrfly Venture Partners, Polychain Capital, Shima Capital, Tomahawk.VC, Upfront Ventures",,,Blockchain,,Alive / Active,793088,920779,2021,,,,North America,California,Marina del Rey,,90292,Seed VC,2022-07-25,9.00,Seed VC,"Bertelsmann Digital Media Investments, Fyrfly Venture Partners, Polychain Capital, Shima Capital, Tomahawk.VC, Upfront Ventures",,,,,,,,,Internet,Social,,,,Yes
Points,points.org,"Points is a blockchain-based credit service network providing secure, AI-powered, decentralized financial services to consumers. Points uses blockchain technology and AI to develop a secure and configurable protocol that encourages entities, including banks, institutions, tech companies and consumers to participate in sharing their proprietary data for improved credit scoring and inclusive finance, providing the unbanked with access to fair financial services.",Internet Software & Services,China,23.83,,"Ceyuan Ventures, Cherubic Ventures, Danhua Capital, Nest.Bio Ventures, Ontology, Zhong Cheng Xin Credit Technology, K2VC, China Chengxin Credit, 4Paradigm, Shenzhen Capital Group",,,"Digital Health, Blockchain, Fintech, Artificial Intelligence",,Alive / Active,334708,35252,2017,,,,Asia,Beijing,Beijing,"Guangming Building 42 Liangmaqiao Rd., Chaoyang District",,Series B - II,2022-03-09,15.83,Series B,Shenzhen Capital Group,,,,,,,,,Internet,Monitoring & Security,,,,Yes
Starton,starton.io,"Starton provides development tools that are designed to simplify blockchain technology, in order to promote its adoption and to make blockchain integration possible with a few lines of code.",Internet Software & Services,France,4.34,"Fabien Poggi (CEO), Christophe Buret (CFO), Jérôme Laviez (COO), Cédric Cervantes (CTO)","Daphni, Kima Ventures, Ledger, Speedinvest",,,Blockchain,,Alive / Active,712058,831275,2020,,,,Europe,,Paris,66 Avenue des Champs-Elysees,75008,Seed VC,2022-02-09,4.34,Seed VC,"Daphni, Kima Ventures, Ledger, Speedinvest",,,,,,,,,Internet,Application & Data Integration,,,,Yes
Elementus,elementus.io,"Elementus is a protocol and platform that enables combining, analyzing, and programming on data from all non-private blockchains. With Elementus, data consumers like financial firms, software developers, and analysts can build new classes of applications.",Internet Software & Services,United States,12.91,"Max Galka (CEO), Nuria Prunera (COO)","Avon Ventures, Morgan Creek Digital, Robot Ventures, Stage 1 Ventures, Pomp Investments",,,"Blockchain, Fintech",,Alive / Active,335106,93498,2018,"Chainalysis, Elliptic, TRM Labs",,,North America,New York,New York,347 Fifth Avenue Suite 1402-337,10016,Unattributed - II,2021-05-24,8.60,Undisclosed,Undisclosed Investors,,,,,,,,,Internet,Data & Document Management,,,,Yes
Perlin,perlin.net,"Perlin is a practical, trustless and decentralized cloud computing marketplace that leverages underutilized compute power in everyday smart-devices to make supercomputing economically viable and accessible globally. The company has launched Wavelet, a directed-acyclic-graph (DAG) that offers a hardened version of the Avalanche consensus protocol with an implementation of proof-of-stake to produce a ledger that is metastable, Sybil-resistant, truly decentralized and fast.",E-Commerce,Singapore,97.50,Kenta Iwasaki (CTO),Global Brain,,,Blockchain,,Alive / Active,363413,427456,,,Dispatch Labs,,Asia,,,,,Seed - II,2019-01-07,48.50,Seed,Undisclosed Investors,,,,,,,,,Internet,Marketplace,,,,Yes
Bastion,bastionprotocol.com,Bastion is a decentralized lending protocol built on the NEAR blockchain.,Internet Software & Services,Switzerland,9.00,,"0xMaki, CMS Holding, Darren Lau, Digital Currency Group, Jane Street Group, ParaFi Capital, Crypto.com, FTX Ventures, Hypersphere Ventures, Jump Crypto, Spartan Group, Three Arrows Capital, AG Build",,,"Blockchain, Digital Lending, Fintech",,Alive / Active,732705,854250,2022,,,,Europe,,,,,Series A,2022-04-21,9.00,Series A,"Crypto.com, FTX Ventures, Hypersphere Ventures, Jane Street Group, Jump Crypto, Spartan Group, Three Arrows Capital",,,,,,,,,Internet,Asset & Financial Management & Trading,,,,Yes
Polychain Capital,polychain.capital,Polychain Capital is a hedge fund that specializes in the trading of blockchain-based assets.,Internet Software & Services,United States,10.68,"Olaf Carlson-Wee (Founder), Matt Perona (CFO)","Andreessen Horowitz, Union Square Ventures, Paycheck Protection Program",,,"Blockchain, Fintech 250, Fintech",,Alive / Active,270360,230239,,"CryptAM, Domeyard, Numerai, QuantConnect, Quantiacs, Quantopian",,,North America,California,San Francisco,548 Market Street Suite 64375,94104,Loan,2020-04-28,0.68,Loan,Paycheck Protection Program,,,,,,,,,Internet,Asset & Financial Management & Trading,,,,Yes
Coins.ph,coins.ph,"Coins.ph provides a mobile-first, branchless, blockchain-based platform that offers consumers direct access to basic financial services, such as remittances, bill payments, and mobile airtime. It was founded in 2014 and is based in Pasig City, Philippines.On April 2nd, 2022, Coins.ph was acquired by Wei Zhou at a valuation between $190M and $200M.",Mobile Software & Services,Philippines,40.00,"Ron Hose (Founder), Nauman Nazim Mustafa (CFO), Hsann Naing (COO), Runar Petursson (CTO)","Digital Currency Group, BEENEXT, Frontier Investments Group, Global Brain, IdeaSpace, Innovation Endeavors, Kickstart Ventures, Pantera Capital, Rebright Partners, WaveMaker Labs, Naspers, Gojek, Wei Zhou, Ribbit Capital",,,"Blockchain, Payments, Fintech 250, Fintech",,Alive / Active,251825,72995,2014,"Airwallex, Ant Group, BitGo, BitPesa, Circle, Ledger, Lianlian Pay, MobiKwik, MoMo, One97 Communications, Paga, Paytm Payments Bank, Ripple, Toss, Xapo, YellowPepper, ZEPZ, Zoona",,Wei Zhou,Asia,,Pasig City,"12F Centerpoint Building, Julia Vargas cor Garnet Street Ortigas Center",1634,Series C,2022-05-19,30.00,Series C,"Ribbit Capital, Undisclosed Investors",,,,,,,,,Mobile & Telecommunications,Payments,Acquired,2022-04-03,"Gojek, Wei Zhou",Yes
MakersPlace,makersplace.com,"MakersPlace allows content creators to sell original art prints online while providing verifiable proof of authenticity, ownership and scarcity on the blockchain.",E-Commerce,United States,32.00,"Daniel Chu (Founder), Craig Palmer (CEO)","Abstract Ventures, Draper Dragon, Uncork Capital, 9yards capital, Acquavella Family Office, Bessemer Venture Partners, Coinbase Ventures, Eric Baker, Justin Blau, Kevin Hartz, Larry Fitzgerald, Pantera Capital, Paul Rosenberg, Sony Music Entertainment (USA), Tobias Lutke, Vinny Lingham",,,"Blockchain, Influencer & Content Creator Tech, Digital Content & Synthetic Media",,Alive / Active,385067,456468,2018,KnownOrigin,,,North America,California,San Francisco,1150 Folsom St #8,9410,Series A,2021-08-04,30.00,Series A,"9yards capital, Acquavella Family Office, Bessemer Venture Partners, Coinbase Ventures, Draper Dragon, Eric Baker, Justin Blau, Kevin Hartz, Larry Fitzgerald, Pantera Capital, Paul Rosenberg, Sony Music Entertainment (USA), Tobias Lutke, Uncork Capital, Undisclosed Angel Investors, Vinny Lingham",,,,,,,,,Internet,Marketplace,,,,Yes
Lygon,lygon.com,"Lygon is a digital platform using blockchain technology to transform the way businesses across the ecosystem obtain and manage bank guarantees. It was founded in 2017 and is based in Sydney, New South Wales.",Internet Software & Services,Australia,14.44,"Rodolf Salem (COO), Simon Townsend (CTO), Justin Amos (Managing Director)","ANZ - Wealth & Retail Businesses, Aura Group, Commonwealth Bank of Australia, Aura Ventures, Australia and New Zealand Banking Group",,,"Banking, Blockchain, Fintech",,Alive / Active,665842,775443,2017,,,,Australia,New South Wales,Sydney,100 Market Street Level 5,2000,Series A,2022-04-19,9.44,Series A,"Aura Ventures, Australia and New Zealand Banking Group, Commonwealth Bank of Australia",,,,,,,,,Internet,Accounting & Finance,,,,Yes
Metaco,metaco.com,"Metaco is a blockchain and cryptocurrency specialist firm that integrates into a bank's core processes. Its flagship product SILO is a complete cryptocurrency wallet-management system for the financial sector, offering custody and the ability to process transactions protected by military-grade security.",Asset & Financial Management & Trading Software,Switzerland,17.01,"Iskandar Ramli (Founder), Adrien Treccani (CEO), David Fenand (CFO), Andre Israel (COO)","Avaloq Group, DBS Bank, Giesecke+Devrient, SC Ventures, SICPA, Standard Chartered, Swiss Post, Swisscom Ventures, Verve Capital, Zurcher Kantonalbank, investiere, Swisscom, Venture Kick",,,"Blockchain, Capital Markets Tech, Fintech, Blockchain 50",Digital Asset Custody (Emerging Tech),Alive / Active,324054,35956,2015,"Blackmoon Crypto, DXM, Fireblocks, FUSION Foundation, GK8, Hex Trust, Omniex, Quantfury, Tangem, Taurus, TrustVerse, Unbound Security, YouHodler",,,Europe,,Vaud,Avenue de Tivoli 2,1007,Series A,2020-07-14,17.00,Series A,"Avaloq Group, DBS Bank, Giesecke+Devrient, SC Ventures, SICPA, Standard Chartered, Swiss Post, Swisscom Ventures, Verve Capital, Zurcher Kantonalbank, investiere",,,,,,,,,Software (non-internet/mobile),,,,,Yes
